TCGA-MO-A47P-01,1.5679044,1.5204448,0.08055897,-3.6959844,-2.8977249,0.70125604,1.2382097,-1.3738188,0.4687481,0.82766765,-1.837913,-3.616539,-0.53761107,-0.0375951,-5.45198,-3.0682495,0.047887743,-0.353167,0.49162966,-0.3733817
TCGA-WK-A8XO-01,2.445394,0.24325691,1.7828567,0.34505758,0.11785434,0.24653165,2.9800987,2.072477,3.2766688,-1.2283711,1.674012,1.4422956,0.74448746,0.90373266,5.6287065,0.5983541,0.47598034,-1.1136231,1.3286597,3.447414
TCGA-IS-A3KA-01,-4.145237,1.4848564,2.7610846,0.6069824,-1.2706463,1.6547582,2.8379214,-1.414164,-0.776832,0.43732095,-2.2572432,0.7286695,0.4983586,-0.39972416,2.4671,-4.255992,-0.60372126,-2.826453,0.67549574,2.0033667
TCGA-DX-A6BA-01,-1.1054997,0.39288768,-1.2418307,-2.789672,2.4007154,-0.4120161,2.7069721,2.0497737,0.78645074,1.0867114,0.5950132,-1.9398831,1.3670692,-0.3510012,-2.6151333,-1.6502868,0.91007125,-5.9182296,-1.1777734,-0.14157985
TCGA-3B-A9HU-01,0.65211254,2.2846577,-1.6089934,-4.879448,-0.22143291,-0.26350838,3.5522308,1.1458398,0.6333076,-0.6085717,-0.36268732,-4.1899414,0.1136882,-1.7888563,0.20805168,-1.179891,-0.6514862,-4.6118994,1.4360908,-2.9494143
TCGA-X6-A8C7-01,4.2687635,-3.1930552,-1.5241556,-0.70256305,-0.8462755,-4.9197288,1.2218707,-3.2040932,-0.4664566,1.6609316,0.35533014,-2.1430159,-3.4489398,-2.6619911,-0.22542815,-1.4662348,2.8911786,-1.7656975,-1.1506444,-4.5710435
TCGA-DX-A1KW-01,-0.29590443,-0.6163319,1.7069086,1.7238998,-2.6317,-0.793068,-2.75717,1.8284813,-1.3573028,-1.5000132,1.4315406,2.9580333,4.3274307,-0.024405455,1.2981135,1.8880818,-0.44637352,1.9532378,3.8310382,2.5778596
TCGA-HB-A5W3-01,-2.984869,2.4886494,1.4618628,-4.183282,2.1074996,-1.5738016,4.105117,0.9184838,0.3375665,-0.67357564,0.87762725,-3.729162,0.7882105,-0.4434022,-3.2495499,-3.5811658,1.0710646,-4.8163943,1.1701368,2.3380477
TCGA-DX-AB2W-01,-3.0493248,-0.110843524,-0.7647204,0.31245393,-1.3685664,-0.1834868,0.60711354,0.56675863,-0.3783326,-0.12370061,-1.2812896,-1.4898969,-1.3696257,0.8792905,1.3340262,-1.1603459,-0.15892775,3.0208051,0.9917163,0.45701748
TCGA-QQ-A8VF-01,-1.0905095,0.04684126,0.08023287,2.4134848,0.8686142,0.7129501,-2.589367,-0.76939666,-1.0578103,-2.3262262,-2.4994268,4.5411367,4.228816,-1.6456172,5.441071,2.0486064,-2.241047,3.507475,-0.4896964,1.6008627
TCGA-MB-A8JL-01,-0.48605433,-1.9803629,-0.020937156,3.2624466,4.0938706,0.82897,0.8755125,0.8976746,-0.3218457,-4.348955,-0.7227679,4.7916474,1.169812,-0.30892757,1.185523,3.103582,0.7280411,-3.4993262,1.4744232,2.8915179
TCGA-FX-A2QS-01,-2.6454735,-0.28441384,-2.2405667,1.887071,-0.7960111,-0.96598613,0.8808661,5.557043,1.3716015,-0.9576472,1.1809652,4.330828,1.0791824,1.2815946,2.1665225,-2.130261,0.036149587,0.5801394,3.5025134,1.3714511
TCGA-X6-A7WD-01,-2.8928223,1.4407928,0.712074,-1.9571323,0.3689355,0.21630408,1.8596246,1.8067614,0.13240965,-1.614852,1.4536116,1.3127034,-1.7048794,-0.06412355,-1.7220557,-0.28365982,0.38812035,-3.3796556,-0.789538,-3.8263793
TCGA-IE-A4EH-01,-1.871151,0.7854211,2.6883278,-0.72888553,-0.16847503,1.21148,1.3873866,-1.1827396,1.1363827,3.5169127,0.44798812,0.498828,1.4405383,-0.053339414,-1.5518088,1.808144,0.7030588,0.60482603,1.1402268,0.42951724
TCGA-DX-AB30-01,1.4046465,3.390786,-1.1371369,3.0787811,2.4842243,0.5060602,0.58621764,-0.1332294,-0.005595818,0.3526851,1.9988997,6.2941113,-1.2181832,1.6026198,2.6125448,-0.9442461,-1.5108383,-1.9934851,-2.1665578,2.835982
TCGA-DX-A1KX-01,1.2502851,-0.7768283,-1.9850588,2.5010004,-1.9710343,1.9272181,0.23045103,-0.042055085,3.195756,2.3404837,0.17972578,1.3608997,-0.36953574,0.62574726,1.5129161,-0.89073825,-3.1800067,4.4577804,0.5179932,-0.51772463
TCGA-JV-A5VE-01,-5.573609,0.8186631,0.32199514,-0.3164695,1.3552045,3.2030406,3.557997,-0.091072105,0.9288895,1.7835013,1.8530058,-2.1987684,1.120322,-1.0334677,2.1732454,-0.98604107,0.22428295,1.177897,-1.7017562,0.9567563
TCGA-DX-AB3C-01,4.9483156,-3.9216573,-0.40719977,-1.1018884,1.9794563,-4.279267,-2.4015062,-3.1446455,-2.9868662,2.1065466,0.10387415,0.43063492,-3.5423086,-2.2249959,-0.012302153,-0.99590695,3.3069015,-0.17387566,-0.99303055,-3.113121
TCGA-N1-A6IA-01,-2.9698246,-1.3394256,-1.1365684,-0.67433304,-1.9739727,0.39209005,3.5427139,0.2979588,0.960171,0.7006345,2.1663997,3.9471307,2.724488,-0.18643735,2.180199,0.8048194,2.5067465,-1.1790357,0.2782588,4.4322786
TCGA-QC-A6FX-01,-0.08498716,-1.0288924,2.9966187,-0.7600479,-2.13045,0.691686,-2.2082732,0.06149102,0.21897896,-0.53992933,0.26987305,2.289147,2.8102431,2.076189,1.4267938,-0.8320138,-2.7770936,5.044364,1.8591896,0.31882805
TCGA-DX-A1L4-01,0.96482646,-0.95056653,0.2666978,1.1654598,1.6511768,-0.0034197308,-2.4309146,-0.1084998,-0.2745648,-2.6045337,-0.1910585,-3.0181212,-2.3263931,0.9728456,2.968304,0.38998005,1.1567674,1.4073421,1.63274,-2.9059927
TCGA-DX-A8BK-01,0.50342846,-0.7398276,-4.1242766,-0.21170089,0.3537048,-2.5810304,-0.31665522,-0.099554144,3.0086634,-0.8924458,0.47237754,1.930205,-1.2118733,0.06260679,1.1162528,-1.1207767,-0.5129799,1.9140385,-0.3178678,-1.4047897
TCGA-DX-A6YR-01,-0.6786655,-2.6732929,1.2501441,1.8089409,-1.1575055,1.7016566,-4.283908,-4.8326597,-1.595199,2.328336,1.5593289,0.70781595,1.9203569,0.99704504,1.9182447,0.4528012,-2.8123126,5.252254,0.35238746,-0.45405737
