TCGA-AB-3005-03,-12.936538,-8.340931,2.9037094,14.736996,11.725786,15.815126,23.124985,-17.505634,3.1467853,-4.8885016,-2.176,-0.7049131,1.654113,1.962656,-3.8505592,-2.0794184,-2.1045,2.4912748,-2.3113465,0.20070383,3.2635145,8.196729,10.282863,3.6374164,7.419237
TCGA-AB-2879-03,-13.303912,-8.9328165,13.001927,19.004566,24.557241,19.908396,38.723446,-22.39028,2.3477187,-2.6540165,-1.3456433,-1.2277566,1.5629296,1.3664753,-1.8189723,0.31880477,-1.7513891,2.2432528,-0.6548565,0.91119826,23.117846,-16.275965,6.922532,-9.782635,-27.498274
TCGA-AB-2984-03,-11.391371,-7.3090663,7.3899117,14.808665,17.410828,15.818755,27.817753,-17.745123,2.0965183,-3.6844544,-1.859016,-1.3155494,1.6855518,1.9219878,-2.04483,-0.3162969,-1.7997719,2.326715,-0.5324803,0.66328156,7.78203,-8.447953,8.099666,-10.80326,8.01578
TCGA-AB-2910-03,-12.72761,-8.012262,1.0711735,13.866919,9.583829,15.208886,19.591393,-16.616058,2.9289694,-4.9928184,-1.7166836,-0.48788154,1.6387669,1.9232248,-3.8447924,-2.902182,-2.968811,2.656976,-3.3076007,-0.81747574,9.642988,-3.5199854,4.3130255,6.951752,7.3978524
TCGA-AB-2858-03,-10.496248,-6.320975,-3.4158707,10.253841,4.2757664,11.853804,9.454935,-12.37684,4.391997,-5.2424316,-1.0299616,0.9980768,1.0643072,3.90842,-4.6705847,-3.8555343,-1.8716978,0.9274327,-3.6283922,1.1846282,10.812863,16.939976,6.762123,5.707517,17.486704
TCGA-AB-2967-03,-15.137228,-10.263387,10.824242,19.795668,21.454046,20.246498,39.175716,-23.069736,2.375941,-5.200233,-2.2498052,-1.2710791,1.9514866,2.8113978,-2.979717,-1.4832306,-1.477115,2.7649426,-1.5000658,0.1258922,28.48411,-8.88533,27.65503,7.37948,-20.580006
TCGA-AB-2868-03,-11.921183,-7.252067,-7.120969,10.160111,-0.6205573,12.333792,5.447025,-12.166466,5.0369043,-5.4067297,-2.0925603,0.22808291,1.4759781,1.6627884,-5.1368575,-3.2289383,-3.4392626,1.5087076,-2.7950764,1.581758,-0.37382212,9.002404,7.469822,10.571514,22.82034
TCGA-AB-2929-03,-12.493054,-7.6531825,-2.6247563,12.202995,5.420013,13.918278,13.418607,-14.615865,5.4826207,-5.729699,-2.236561,0.2754386,1.6515689,2.0601122,-5.305763,-3.102206,-3.2772043,1.2029873,-2.222658,2.3621776,7.3994045,6.6123157,-0.62248045,19.336937,16.002596
TCGA-AB-2886-03,-10.270728,-6.0871425,-1.5505353,10.768939,7.184314,12.15533,12.387242,-13.000338,5.4156704,-3.7332895,-0.04524552,2.536222,0.25098723,3.0855453,-5.4877973,-4.3727207,-2.5442007,-0.6300941,-4.4457583,1.7197442,14.024531,22.312424,21.61838,10.934008,34.914078
TCGA-AB-2814-03,-10.012454,-5.7621627,-3.6101608,9.49533,3.9025223,11.224362,8.64817,-11.669531,4.436524,-4.663948,-1.7789949,0.21600504,1.3064827,1.6924658,-4.3199983,-2.5353227,-2.8063188,0.9993792,-1.7918671,1.8823997,8.825051,3.7389476,1.7775682,9.174051,19.050789
