TCGA-LK-A4O0-01,4.675548,-2.4179282,-2.3740535,3.0735013,-3.3184264,3.6057193,-6.562255,-8.339201,6.1971426,8.789184,9.700935,1.9202871,-2.8671772,0.6984593,5.8296437,2.2251244,2.3842978
TCGA-TS-A7P6-01,5.8061996,-3.4557302,-3.5672016,3.895517,-4.1599307,1.753963,-6.6751766,-8.498151,7.121753,9.395442,10.5054245,1.1577382,-3.7463756,0.51352185,5.815857,4.4099145,3.0979247
TCGA-3H-AB3S-01,5.895304,-3.791247,-3.87873,3.905327,-4.230372,0.64111394,-6.2887316,-7.8743954,7.0319934,8.901464,10.032869,0.38687128,-3.9333305,0.5567554,7.3264713,0.15458706,-0.93673617
TCGA-NQ-A57I-01,3.8420322,-1.1101824,-1.0235705,2.6176627,-2.733996,6.6577625,-6.929588,-9.190994,5.721057,9.152534,9.917106,4.1200266,-1.8423917,0.13604775,7.3691444,1.0567408,0.82503265
TCGA-TS-A7P3-01,4.066483,0.15957503,0.1662609,3.1062589,-2.9298005,11.272673,-8.647617,-12.181558,6.4013433,11.76239,12.632605,8.293719,-0.9597427,1.0740665,5.7664504,3.2509773,1.9589117
TCGA-UD-AAC4-01,6.6021657,-5.841854,-5.8870378,4.133239,-4.753079,-5.0538225,-4.959524,-5.3431096,7.19847,7.0537615,8.268683,-4.174117,-5.5002604,0.37187243,6.161148,0.9457295,0.7952408
TCGA-UD-AAC7-01,6.106751,-5.175636,-5.172005,3.8387597,-4.402282,-3.4570096,-5.102524,-5.7396,6.8498006,7.166751,8.327051,-3.084738,-4.921361,0.41791356,4.903149,4.6939936,4.6718025
TCGA-MQ-A4LJ-01,5.7998147,-3.1585455,-3.2483125,3.921622,-4.184653,2.7542791,-6.9792595,-9.063186,7.2127957,9.871306,10.9903965,1.9993699,-3.5325253,1.0672876,3.3111875,6.8551383,4.5781746
TCGA-UT-A88E-01,6.43881,-5.1928234,-5.2741237,4.0911255,-4.663529,-3.3431354,-5.308093,-6.1334524,7.135445,7.603289,8.829281,-2.6370275,-4.977026,1.1821556,8.438772,-0.25347492,-2.778561
TCGA-SH-A7BH-01,2.454444,1.9218439,1.9033949,2.2014277,-1.714672,14.232855,-8.317974,-12.020108,4.984219,10.987596,11.521586,10.287531,0.5727467,1.0547292,6.0768266,6.171374,5.8742785
TCGA-LK-A4O5-01,6.2660336,-4.641059,-4.7218184,4.029471,-4.501705,-1.3766617,-6.0598903,-7.18406,7.307073,8.489121,9.674221,-1.420258,-4.6350093,0.96837306,7.398322,0.34147027,-2.02977
TCGA-TS-A8AS-01,6.018907,-4.255127,-4.3115387,3.8797398,-4.312798,-0.78628904,-5.843268,-7.1605444,6.9774585,8.342888,9.437064,-0.72794837,-4.2597857,1.3686327,4.337136,4.6800213,5.1271725
