TCGA-86-8669-01,-26.685148,-10.867157,-16.39784,6.359569,2.9788904,25.80871,-7.864902,-1.274936,-1.1224664,1.293578,-1.3354249,0.0161516,-1.51404,1.1530089,0.05672005,-2.355691,9.780187,26.286673
TCGA-49-AAQV-01,-23.751616,-11.644555,6.470066,3.521701,-11.944714,30.29649,1.5310493,-0.78820354,-0.8116178,-0.475052,-2.0564134,0.64849335,0.35946664,3.6974897,0.26082456,2.738701,-11.14588,8.577503
TCGA-78-7149-01,-20.545256,-10.753472,-11.772064,-3.2818496,11.229796,22.998629,0.65867907,-0.16630046,-0.9135741,-1.7363377,0.09879571,1.9254155,0.88464147,1.0206504,1.6283875,-12.1512165,-1.6961526,11.960454
TCGA-86-8055-01,-25.764277,-12.179418,22.14017,-3.0772383,-8.169562,31.113338,-3.7009802,-3.2933102,3.02887,2.490422,-2.3774698,1.5639286,0.3264998,3.5509567,1.0715708,-3.4685836,-4.122787,9.365956
TCGA-91-6829-01,-23.303188,-3.819747,13.829387,-4.7720084,1.0483534,28.571745,-5.5599236,-1.2758098,1.4913495,2.883059,-0.5380776,1.0076905,0.22191584,1.6584084,1.6430745,-8.346556,6.6393003,6.4247384
TCGA-78-7163-01,-14.281889,-12.194657,3.6485848,-3.0104523,-9.333743,18.349674,-10.254424,-1.7014081,1.1092961,4.5837235,-1.8847295,1.6890731,-0.035504844,3.344251,2.600106,-5.255236,-17.766087,29.752462
TCGA-62-8398-01,-20.301264,-3.3392916,14.026914,13.055934,15.582116,24.464788,-6.448037,2.8023267,-0.20885845,2.9055438,2.3848455,3.5350628,-2.6547177,-0.18211499,0.5845297,-2.5086195,-2.2694252,16.549862
TCGA-38-A44F-01,-28.379232,-18.800688,-5.0925307,-2.693826,1.8592254,35.156113,-4.6725535,2.1354275,-2.537526,-0.088239014,-1.2268131,1.0018624,-0.31102058,2.408831,0.87661755,1.6774415,-1.3714308,22.284523
TCGA-38-4631-01,-17.77672,-4.5260353,21.28348,20.427704,4.698409,22.743214,3.0413003,-0.9200195,0.3672825,5.2088113,-2.8874447,0.5280729,-3.2618248,2.0397663,2.1082873,-12.636989,11.99892,-30.681667
TCGA-L9-A7SV-01,-19.684315,-5.189616,-4.604053,-1.3978752,-1.6873704,19.500101,-7.2726808,-2.2495844,0.96469855,0.2882218,-1.1282959,-0.31135166,1.0476198,1.6920781,-0.43954462,-4.1358647,7.793408,0.3767964
