,0,1,3,5,7,8,12,13,16,18,23,24,25,26,29,0,1,2,3,4,5,7,8,9,10,11,12,14,15,16,18,20,22,25,26,27,29,0,1,2,5,6,7,8,9,10,13,16,18,21,25,26,27,29
TCGA-YZ-A980-01,12.046033,10.638736,-12.179797,-2.22077,-12.458385,-13.077326,-12.0622225,10.560615,10.202076,-13.377939,-1.6152545,3.9840932,11.087258,8.597395,-11.320339,1.9934723,2.7102885,-4.401284,-3.147222,-3.0056732,-3.800871,-3.427019,1.7998476,1.3695874,1.3931291,-0.51668555,-1.5301052,5.456753,-1.9379714,1.9487544,3.8502321,3.8691335,3.8410618,0.59988636,-0.58916795,1.2844135,-0.28898242,14.650474,-25.19205,-9.656865,-15.969348,12.277569,0.21565549,14.226272,-13.153001,17.898376,24.185188,14.086145,-16.48667,-21.95137,-23.663252,13.262597,10.02732,11.676838
TCGA-VD-AA8M-01,7.30763,6.735584,-7.1770754,3.2996218,-7.6968627,-7.9123673,-7.4675903,6.435761,5.940003,-8.047692,-4.2208138,-1.8286902,6.9986825,6.0932355,-7.396688,-1.8738188,-0.87072366,-5.364274,-0.054261222,-0.30545267,-0.17934977,-3.4584475,2.6188223,0.77092975,6.006207,4.296046,2.5437374,6.3800426,0.7590333,3.7090797,-0.53206736,-2.3809016,2.472556,6.119606,-2.7746935,5.746523,-1.7262747,7.049144,-14.965138,-13.063829,9.709126,8.397985,15.958039,10.754024,-24.043642,3.932006,1.809343,23.256403,-6.804973,-32.676884,-18.483593,23.873957,22.611155,-1.4587324
TCGA-VD-AA8T-01,9.029881,8.177512,-9.25291,2.5843692,-9.605753,-9.941502,-9.168107,7.992492,7.7218375,-9.916424,-4.0021086,-2.0804563,8.268219,7.2862396,-8.967341,-0.91054845,-0.05995967,-6.404686,0.033256754,-0.7257202,-1.1948805,-2.8442562,3.7120035,1.7857091,5.8998466,4.1924276,1.6252667,7.0026574,-0.11546457,3.217939,0.61011386,-1.5572639,4.1087513,4.372685,-2.3298864,5.079407,-0.81956905,7.02329,-0.48079598,-18.816706,-16.199926,31.022564,27.201584,22.124918,-20.280174,7.846833,8.415219,-7.0392456,-7.02918,2.5060625,3.1395726,1.4326408,25.39436,24.04504
TCGA-VD-A8KI-01,6.726555,6.22122,-6.6234517,3.1989489,-7.126471,-7.183262,-6.8553615,5.990336,5.4777904,-7.393466,-4.088339,-1.8817552,6.429096,5.718494,-6.8505225,-0.5397359,-0.26947004,-4.586895,-1.3601781,-0.47583783,-1.5899357,-3.7505245,1.509116,0.91242856,3.5541246,1.7308013,0.6228145,5.4154925,0.57026243,2.2324312,1.1987388,0.39134502,2.3150277,3.0083344,-1.286555,2.968746,-1.6342868,17.512009,-29.92514,-12.924164,-14.595047,14.504553,8.027472,4.6600924,-9.798418,4.392981,21.76066,8.7161455,-24.28822,-9.6602,-13.414615,10.144366,4.759531,18.476362
TCGA-V4-A9ED-01,8.282583,7.526192,-8.224511,1.9879688,-8.691028,-8.934821,-8.360524,7.335199,6.8293533,-9.154184,-3.5768318,-0.439067,7.853934,6.590504,-8.204638,-0.68439305,0.14870818,-6.3638434,-0.6468808,-0.8516419,-2.0008159,-3.4781702,3.0781298,1.5870279,5.454306,3.4814758,1.0683024,7.305891,0.09411925,3.1784716,1.2816503,-0.6870961,4.1119003,3.9023876,-2.0497627,4.431876,-1.4319141,20.562544,-25.627083,-9.433111,-18.82873,10.444921,4.9714904,14.11595,-13.2586155,16.637241,25.255634,11.922474,-19.601137,-15.055468,-20.596926,10.213168,8.82686,17.425682
TCGA-V3-A9ZX-01,10.282167,9.184017,-10.302882,-0.27187976,-10.693385,-11.076662,-10.311403,9.048095,8.608208,-11.444674,-2.5634267,1.8907446,9.530518,7.6919184,-9.851518,1.8777646,2.701742,-6.461324,-3.9429374,-3.194581,-4.4734807,-4.4134836,2.524641,1.9839576,2.583544,0.4417641,-1.634272,7.5391364,-2.2648416,2.7493453,4.4790044,4.417223,5.2620673,1.5891238,-0.94669545,2.2015202,-0.57415473,20.545721,-26.860558,-13.082966,-15.8610115,12.836065,6.8904843,6.2696304,-10.79991,8.081484,20.63547,7.2918873,-21.552269,-8.081012,-13.647261,7.913966,6.459242,19.252762
TCGA-VD-A8KJ-01,8.143773,7.4261603,-8.266537,3.1310618,-8.649658,-8.913899,-8.27373,7.167176,6.819703,-8.89369,-4.236722,-2.4125633,7.545293,6.6999154,-8.135529,-1.2994298,-0.15397534,-6.1183567,-1.2196388,-1.034944,-2.015837,-4.720281,2.2658234,1.1017749,6.078564,3.233813,1.650925,7.6016803,0.6469614,3.3257027,1.2464507,-0.26030374,2.5276895,4.7728624,-2.3824372,4.501206,-2.1577628,8.799772,-17.702692,-13.583567,6.0213118,13.560032,15.5065775,9.515805,-24.242577,5.5479274,5.993039,20.999657,-9.792534,-31.147644,-17.802105,24.124561,21.63772,3.2752507
TCGA-YZ-A985-01,6.4164133,5.9759626,-6.300237,3.6671476,-6.7937226,-6.9219556,-6.565744,5.705338,5.1928864,-7.023242,-4.288016,-2.4713337,6.1446333,5.545357,-6.579224,-1.0410577,-0.46673834,-5.310119,-0.45370147,-0.16038576,-1.0758973,-3.3473933,2.3881571,1.2125654,4.722961,3.06019,1.3720121,6.134467,0.65613294,2.931642,0.5214935,-1.0748683,3.156886,4.0876293,-1.792872,4.0738454,-1.5789758,10.894883,-2.5926347,-19.124342,-11.679601,24.737944,24.27551,16.944902,-18.686066,0.33665568,7.445297,-3.362607,-11.161214,2.5082712,6.853625,6.334488,23.109953,26.557175
TCGA-V4-A9EJ-01,7.1397486,6.620604,-7.1713557,3.6326542,-7.656645,-7.8548884,-7.324607,6.3668118,5.951041,-7.8249125,-4.377752,-2.6823595,6.7451015,6.062754,-7.301577,-2.5041163,-2.8645518,-2.7046056,1.574517,-0.103019215,2.7907715,-3.5128443,-0.98064685,-1.2547979,5.3662853,4.861446,4.8814106,2.4359176,5.055316,3.3129244,-1.2719367,-2.4353843,-3.1053069,6.016444,-2.8087833,4.717492,-3.8556268,16.798456,-9.307305,-6.0258384,16.750608,2.4155147,20.483107,7.2421055,-21.104912,12.870686,-2.667437,26.659544,1.8695763,-31.09467,-27.636906,24.76888,19.763462,-5.742523
TCGA-VD-A8KE-01,7.9391527,7.2681823,-7.9236116,3.0792096,-8.384307,-8.639406,-8.091383,7.0161214,6.5776677,-8.726501,-4.1854243,-1.9205472,7.4586573,6.5292625,-7.945754,-2.0409482,-1.6166695,-4.431674,0.9067212,0.5714451,1.2360815,-3.176376,1.7947125,0.12010511,5.4383945,4.4879146,3.0851545,5.008147,2.00167,3.6675937,-1.5836884,-3.6169302,1.5591344,6.714554,-2.7308455,5.8272104,-2.4116066,0.8235207,-1.4129711,-16.131666,6.3204846,19.088295,24.45783,17.613127,-28.0892,-2.4025714,-1.2650132,11.625766,-4.30306,-21.484385,-0.58451253,21.935986,33.570934,9.154291
