,6,13,25,27,28,10,23,24
TCGA-98-A53B-01,-16.58181,11.783393,-3.1916628,-8.467372,-14.634326,1.1130154,-8.367064,4.9787517
TCGA-43-6647-01,-13.913144,8.613917,-0.13770209,-5.0970616,-11.749426,1.2775497,0.55339533,4.99255
TCGA-56-5898-01,-15.937919,1.45169,-12.274222,-5.678001,-11.343894,2.3526094,-15.269038,5.51237
TCGA-77-6842-01,-13.155303,14.670398,0.9534642,-4.068472,-9.472733,1.9398987,-6.7550488,0.1878833
TCGA-34-8455-01,-12.781752,15.718716,-6.503205,-6.938425,-10.610708,2.2410905,-9.676394,-0.48729938
TCGA-43-A56V-01,-17.411697,-1.1734071,-5.9924455,-7.0267043,-12.374363,0.7532403,-13.390596,4.4703617
TCGA-77-8154-01,-15.082553,-3.818672,-4.9696274,-8.466311,-13.386902,2.1762323,-12.360907,-15.0638275
TCGA-77-8138-01,-13.46622,18.168291,-4.589984,-6.7754273,-10.804652,0.3565309,-5.3142953,5.823459
TCGA-22-5491-01,-18.624395,-14.475246,2.2317543,-1.3865253,-10.390777,3.2065845,-23.10615,-11.546042
TCGA-85-A4CL-01,-17.630276,-12.866043,3.057193,1.1363763,-13.367471,1.8005034,-12.884536,7.31658
TCGA-39-5022-01,-17.83343,6.2209125,-0.59465134,-0.6144338,-10.933434,1.4183731,-12.125654,7.381072
TCGA-63-A5MR-01,-15.48659,-2.9235423,-5.9732113,-3.6225147,-10.972837,2.1203182,-3.4156961,0.73834115
TCGA-77-7139-01,-16.197308,-22.228563,-5.4726806,1.8634534,-12.640082,2.0086253,-24.459421,-7.3986616
TCGA-37-A5EL-01,-13.44453,-6.8324018,8.394882,-5.8111706,-13.7589445,1.2486819,-23.405811,-18.394806
TCGA-58-8392-01,-17.26953,-16.761131,-7.9130735,-8.757492,-12.329833,3.2224355,-7.699942,8.154148
TCGA-22-5479-01,-17.380749,-7.935643,1.3775423,-7.031567,-9.6941395,3.3340843,-18.501055,-11.088386
TCGA-63-A5MT-01,-12.85838,15.916336,-3.5023522,-7.873034,-11.574831,0.36725453,-15.81086,-6.674831
TCGA-70-6722-01,-11.023377,20.684889,-12.353458,1.1010264,-9.096742,0.95258003,-12.232323,19.958254
TCGA-85-8071-01,-15.319472,-12.851025,2.2073205,-13.547235,-12.953775,1.8120719,-25.104082,-26.857891
TCGA-58-A46K-01,-15.351771,-13.400475,2.4969313,-4.287518,-10.881013,2.465159,-17.370003,12.383859
TCGA-94-A5I6-01,-15.901756,-17.261694,-7.582829,-3.5597684,-11.891585,1.5776595,-5.1797996,20.116253
TCGA-56-A4BY-01,-15.883441,-1.9205656,1.4150779,-4.903567,-9.682256,2.9716122,-14.229223,19.221989
TCGA-85-8049-01,-18.942633,4.041244,3.949717,-1.9782714,-10.716237,2.2760735,-13.123268,1.6886333
TCGA-33-6738-01,-14.737131,2.984298,-8.673142,-1.3704945,-9.224513,2.861586,-11.407356,14.178873
TCGA-56-A4BW-01,-16.332535,2.5491707,6.547237,-7.3743396,-14.064042,1.467571,-14.966342,2.3566196
TCGA-56-8308-01,-16.568096,-9.889052,-6.2169857,-8.1357975,-11.86256,1.6990393,-18.704544,-8.675556
TCGA-63-7020-01,-15.675736,14.31524,-2.8604078,-5.0127587,-10.556453,2.6530533,-9.929772,-1.8885708
TCGA-33-AASJ-01,-14.083734,-17.632011,-2.2952387,-6.998333,-11.613703,2.5211065,-23.436096,-11.686689
TCGA-85-8353-01,-15.057511,6.2224607,-3.230505,-2.4549365,-12.16714,1.9024693,-16.316742,-0.6580117
TCGA-85-8070-01,-12.0885315,-12.153731,-3.9043841,-8.746471,-9.681417,2.213044,-19.15386,12.72921
TCGA-NC-A5HQ-01,-18.930233,-0.7651963,-1.0809124,-7.554812,-13.077492,2.113664,-19.332172,-12.169939
TCGA-98-A53A-01,-14.9620075,-8.528948,1.2685378,-8.559156,-13.886867,2.0230036,-20.303934,-4.5278196
TCGA-85-8276-01,-15.917628,-1.3602536,-1.4928259,-3.1036677,-12.691886,1.6870804,-16.44744,-2.2833657
TCGA-LA-A446-01,-15.610288,-7.329247,-10.110737,-6.157062,-10.453227,2.4957752,-12.001542,9.311964
TCGA-NC-A5HT-01,-13.695903,-1.546725,-1.3506048,-11.853516,-14.347026,1.005885,-23.475811,-24.909817
TCGA-58-8386-01,-14.191028,15.525154,-14.052259,-5.6543283,-11.294236,2.2126875,-13.455585,-6.2608323
TCGA-77-A5GF-01,-16.106586,-15.861518,2.5236826,-3.7806342,-13.085044,1.7157413,-20.25367,-5.675697
TCGA-56-7731-01,-16.926046,16.659143,-5.251422,-4.822587,-11.317994,1.6160729,5.8000283,-1.8221822
TCGA-56-8304-01,-15.718242,-4.2962956,-7.447832,-5.8742337,-10.322206,1.6695684,-1.3467225,-3.83663
TCGA-63-A5MN-01,-12.785779,25.041025,-2.4186723,2.1242785,-8.035268,1.5343727,-2.8050508,7.675441
TCGA-96-8169-01,-14.80932,15.98874,0.832824,-8.557435,-10.465001,2.0524595,-11.015161,1.5442986
TCGA-NC-A5HJ-01,-14.670119,30.39136,-7.126729,0.9638683,-10.617541,2.961298,-4.405652,11.211496
TCGA-85-A4PA-01,-14.219697,28.278675,-2.3095644,0.079147175,-10.971623,2.740035,-5.564919,18.700043
TCGA-98-8023-01,-13.8798895,10.768656,5.4340324,-5.088017,-10.479489,1.8834804,-11.124085,0.09232776
TCGA-56-8625-01,-16.140944,5.3581986,2.7454147,1.5715648,-12.153953,1.3548112,-9.414392,-0.6106649
TCGA-43-6770-01,-15.70094,-8.2056055,-6.422509,-6.6037507,-11.392289,1.8643476,-6.5041504,14.040214
TCGA-60-2703-01,-12.145897,5.5888314,-4.8556223,-3.7529643,-10.369216,1.5370945,-2.7568302,2.4833286
TCGA-77-A5GB-01,-13.913606,7.383127,-8.035227,-7.7106338,-10.827942,1.3557612,-12.3500805,4.224474
TCGA-90-A4EE-01,-14.863307,12.695369,3.9562933,-1.6155397,-11.66413,2.049391,-16.504599,-7.214728
TCGA-34-5929-01,-14.341599,-2.356987,-0.10486911,-2.477529,-14.208331,0.91277647,24.263872,-17.524237
TCGA-96-8170-01,-18.710064,11.501478,-1.3950529,-6.0691714,-11.211174,2.383289,-5.334928,-2.1157756
TCGA-22-5483-01,-12.454335,2.5974889,-1.8913056,5.20334,-9.479013,1.1627269,-17.451567,14.050119
