TCGA-DD-A113-01,-12.927023,-4.9531746,2.5458682,-1.6295371,-0.692807,2.2954128,1.9333344,-17.24214,13.221837,-2.609372
TCGA-BC-A10Y-11,-12.337994,-13.98274,1.8382666,-0.86232597,-1.4274831,1.4721678,1.6960578,-0.3181762,2.6637757,-6.3994694
TCGA-DD-AACB-01,-11.185394,7.533242,3.9563394,-0.66520053,4.4238915,6.405321,-1.864167,-1.6954683,3.9761782,-7.4657273
TCGA-CC-A9FS-01,-11.405359,-10.383585,2.2379434,-1.8026872,-2.0903125,1.7482891,2.632397,-7.3929887,-1.5921465,-3.9360063
TCGA-BC-A5W4-01,-10.543319,-11.827914,3.8106596,-2.6437259,0.617839,3.0309968,2.0785804,2.6058109,-8.44283,8.500899
TCGA-2Y-A9H5-01,-12.480903,-12.212357,1.7330928,0.035823803,-1.5834249,2.644573,2.9647667,-17.18653,8.613819,1.6670443
TCGA-BW-A5NO-01,-15.066438,-3.5349367,2.6877322,-0.2923813,-0.27929282,3.2460134,0.77065724,4.847512,-2.04027,0.9788419
TCGA-CC-A7IE-01,-11.41532,-1.1925777,3.849448,-1.3905439,0.82919365,3.1388953,1.8056656,2.0747669,2.3806868,-5.9602175
TCGA-KR-A7K2-01,-10.953945,-13.258366,2.5626724,-1.1445973,-1.1532133,2.9686933,2.098842,3.5187223,-1.7302356,5.5122395
TCGA-DD-AADM-01,-11.397217,-8.074356,3.1153736,-1.2205268,-0.06066792,2.6858706,1.4801463,0.9762171,-9.064084,3.673105
TCGA-CC-5258-01,-12.928986,5.030258,4.3780017,-2.2857249,0.9729653,3.333712,0.14075507,4.4794936,1.0474579,-10.267205
TCGA-BW-A5NQ-01,-13.745668,14.619625,4.6402287,-0.2778522,5.4871387,7.518403,-0.59337753,18.821466,-1.4157588,-0.26056656
TCGA-2Y-A9GX-01,-15.845167,-0.67050654,2.416981,-0.44176525,-0.41275343,2.5365992,1.6837963,11.300222,3.672581,-0.83420527
TCGA-LG-A9QC-01,-9.280417,1.0063683,1.8229706,-1.4210098,-0.7428871,1.1501484,0.4525076,-7.617514,4.681778,4.041054
TCGA-DD-A11C-01,-14.510226,-0.9007667,2.7652857,-1.363208,-0.4579892,2.618356,0.4453768,1.0217943,-5.016559,9.369263
TCGA-BC-A10Q-01,-10.949672,0.4433284,2.711121,-1.4371752,1.672395,3.1412442,1.8771183,-12.485278,13.030683,-6.3272595
TCGA-4R-AA8I-01,-17.41711,3.6803627,3.5367525,-2.478635,0.38790202,3.189102,-0.28307006,6.295453,-3.360967,3.0585673
TCGA-FV-A4ZQ-01,-11.135901,7.46935,5.195122,-3.4007308,2.373997,3.5806973,-0.33908543,-5.3486915,0.77167225,4.402317
TCGA-BC-4073-01,-18.526667,13.492954,4.2482386,-2.2927275,1.7858231,4.199,-0.31436032,20.061167,3.4169095,-5.942469
